tweetid,Tweet,For guns?,Location
5647,Why aren’t schools teaching HISTORY the consequences of NOT having responsible gun ownership is MILLIONS killed by Totalitarian govnts? B/c Globalists want America gone of the earth. No America = One inGodly World Govnt,-2,"Louisville, KY"
5648,Now the children ask for safer gun laws. So loud I can hear them at the 10th floor. ,-2,"San Francisco, CA"
5649,"Per Nathan, who loves guns, banning all semi-automatic weapons including hand guns is the right thing to do, and I’m a person who listens to experts. ",-2,"Scottsdale, AZ"
5650,@chickenbawker Obviously you need more guns in your life,-2,"Austin, TX"
5651,"@annakatclarke If I could just say a little something.  Contrary to popular belief, Chicago doesn't have the strictest gun laws anymore and when they did, people in Chicago would go to Indiana, where it's more lax, to get guns.
",-2,"Columbus, OH"
5652,“guns have more rights than my vagina” #NationalStudentWalkout #NeverAgainMSD ,-2,"Wisconsin, USA"
5653,go barons! ,-2,"Beverly Hills, CA"
5654,I swear Republicans would rather have guns in schools than Black children,-2,"New Haven, CT"
5655,Wow. ,-2,"Eagan, MN"
5656,You need your ass beat little boy ,-2,"Colorado, USA"
5657,The problem is your not controlling your guns and Americans are fed up! ,-2,"Kalamazoo, MI"
5658,@bdshores @ABC I don’t think any of these Communists would like what happened if the government actually tried to take our guns away and WE started protesting,-2,"Denton, TX"
5659,Stick to sports lmfao ,-2,"Columbus, OH"
5660,   I'M A LIBERTARIAN NOW.,-2,"Grand Rapids, MI"
5661,"#NationalWalkoutDay

Current 2018 US Death Toll:

Abortion- 137,080
Tobacco- 43,934
Obesity- 38,537
Medical Error- 31,565
Alcohol- 12,553
Suicide- 5369
Drunk Driving- 4244
Poisoning- 3987
Prescription Drugs- 1883
Murder by Guns- 1443",-2,"Abilene, TX"
5662,"@newyorktimes110 today, I, alongside 36 other students, were discouraged to practice our first amendment rights of freedom of speech and assembly (threat of suspension) to take a stand on gun reform and commemorate those kids in Parkland! Write about that!!!",-2,"Lindenhurst, NY"
5663,"I was my son’s age when #Springfield happened. I was my daughter’s age when it was #Columbine. They have never known a world without school shootings, and the fact that their generation is demanding change makes me so proud. #enough #NotOneMore #CommonSenseGunReform",-2,"Portland, OR"
5664,@RealJack My daughter is a teacher. Her students had no idea why they were walking out. Stated they didn’t have to do class work and they’d be with their friends. Most came back late. These kids are being used to promote gun control. Now another walk out April 20. Despicable.,-2,"Pennsylvania, USA"
5665,@vemagni @1SnoozyQ Because they are cowards....they can prove their manhood without guns!!!!,-2,"Pasadena, CA"
5666,This has nothing to do with the Second Amendment. This has to do with the NRA controlling the Senators and Congress and the president stopping them from having a good real gun laws remove guns from idiots. Assault weapons are not needed in America ,-2,"Yakima, WA"
5667,Smh this the realest most fucked up thing I ever read ,-2,"Allen, TX"
5668,"What do we really know about guns coming into this country and money from European gun manufacturers being funneled through the @NRA and given to politicians as campaign contributions?

 ",-2,"Alexandria, VA"
5669,For the feeble minded who can’t grasp the concept of gun control: please watch this ,-2,"Rancho Cucamonga, CA"
5670,The youth are asking for safer gun laws. Their voices can be heard on the 10th floor ,-2,"San Francisco, CA"
5671,@HillaryWarnedUs -A pro gun politician who voted w the NRA vs gun control measures should not try to coopt a Gun Control movement. Talk about Chutzpah! ,-2,"Miami Beach, FL"
5672,"Way to go, Justin! 👊🏻 #NationalWalkoutDay ",-2,"Huntersville, NC"
5673,So proud of our kids #NeverAgain #Walkout #Enough walkout ,-2,"Washington, DC"
5674,@sailorclout Do you even know how many restrictions there are on guns already or what you do to even get one? Didn’t think so. Most of our traditions have happened by your kid so 🤷🏽‍♀️,-2,"Bakersfield, CA"
5675,"Way to go, Justin! 👊🏻 #NationalWalkoutDay ",-2,"Huntersville, NC"
5676,"@HughCarmichael3 If they win big with gun control, their ability to use the media is promising...",-2,"Manhattan, NY"
5677,🙌🏽 ,-2,"Florida, USA"
5678,"More than five dozen teachers from Clayton, Webster Groves, Parkway, Rockwood, etc. are holding their own protest now against gun violence and calling for gun control. They couldn’t protest with students during the school day; this is to show solidarity with their students. ",-2,Clayton High School
5679,"While the bill had bipartisan support, many Democrats were frustrated that it doesn't include any gun control measures.",-2,"Newburyport, MA"
5680,students across america standing hand in hand and asking if guns are worth more than our lives #Enough  #NeverAgain #NationalWalkoutDay #CommonSenseGunLaws ,-2,"Utah, USA"
5681,It only takes one person to make a change! ,-2,"Braselton, GA"
5682,@jacksnowknows NO GUNS IN SCHOOLS!!!!! NO GUNS IN SCHOOLS!!!! NO GUNS IN SCHOOLS!!!! NO GUNS IN SCHOOLS!!!! NO GUNS IN SCHOOLS NO GUNS IN SCHOOLS!!!!,-2,"Pasadena, CA"
5683,#enough of all the “gun violence” “gun control” bull shit! THIS ISNT THE PROBLEM! THE PROBLEM IS PEOPLE! GUNS CANT SHOOT THEMSELVES!,-2,"Tennessee, USA"
5684,"@Waxing_Cresent I saw that one, too. It's gone beyond the point of insanity, my friend.

What in the hell was that teacher thinking??? The most basic rule of firearms safety is ""THE GUN IS ALWAYS LOADED."" Seems this idiot violated just about all the rules.

SMFH.",-2,"Layton, UT"
5685,"White men stockpile guns because they’re scared of black people and feel inadequate, science says  ",-2,"Santa Clarita, CA"
5686,Half these kids who walked out have parents who own guns 🤔,-2,"Prairie Ridge, WA"
5687,damn all yall ugly ,-2,"Garland, TX"
5688,@rudddinger @happyshinyrobin @Redphilly @CNN What about the decades and thousands killed in vehicle accidents? How about by prescription drugs? More are killed by those than by guns annually.,-2,"Mineola, TX"
5689,@emskware2015 @Saenger_ @dcopaken She probably doesn’t have time to answer your stupid question - she was responding to a parent. How many times do law enforcement &amp; other experts have to tell us teachers with guns is the opposite of the answer to this?!?,-2,"Philadelphia, PA"
5690,"Armed guards for all democrats, musicians, and actors as they beat the drums for gun control/confiscation ",-2,"Charlotte, NC"
5691,@SpecialReport Amazing! Protected by guns but we are suppose to give up our right to protect ourselves. Thank God for Texas!,-2,"Bonham, TX"
5692,@KDVR Accidentally? As opposed to intentionally to make a political statement teachers shouldn’t have guns? There is no low democrats won’t stoop to.,-2,"Colorado, USA"
5693,@GL_sportsguy And uzi water guns,-2,"Lubbock, TX"
5694,@MdlMurray Guns at the anti-gun Rally!,-2,"California, USA"
5695,And 100% of you is aids ,-2,"Timberlane, LA"
5696,"#NationalWalkoutDay today, I, alongside 36 other students, were discouraged by our school to practice our first amendment rights of freedom of speech and assembly to take a stand on gun reform and commemorate those kids in Parkland! Shed light on THIS!",-2,"Lindenhurst, NY"
5697,Today I didn’t walk out to support anti guns. April 20th I won’t walk out to support anti guns. I walk out because I believe there needs to be change- whatever way that may be.,-2,"Lake Stevens, WA"
5698,We should outlaw democrats.  If you’re in Illinois you need desperately to get out and elect smarter people. ,-2,"Santa Fe, TX"
5699,Let’s see how many of you  can prove to the citizens of the Untied States they u believe in gun control!,-2,"Queen Creek, AZ"
5700,It’s not the guns people it’s the way you treat people that causes these kids to do it. I know that some of the people who walked out of the high schools today at one time probably bullied someone and that is the real thing that needs to stop.,-2,"Illinois, USA"
5701,"Respect for being the only one to do this, and still having the wherewithal to do it young man✊🏼 ",-2,"Municipality of Monroeville, PA"
5702,"This is why we can't guns in the classroom.
Teacher Accidentally Fires Gun; At Least 1 Student Injured - news -  ",-2,"Ventura, CA"
5703,Now they are blaming Trump? This is the group you want to limit their right to gun ownership but allow them to vote? ,-2,"Kettering, OH"
5704,"Everyone was so worried about it being about there guns, it wasn’t. We don’t want to take your guns pussy boy. ",-2,"Rock Springs, WY"
5705,"@NBCNews today, I, alongside 36 other students, were discouraged by our school to practice our first amendment rights of freedom of speech and assembly (threat of suspension) to take a stand on gun reform and commemorate those kids in Parkland! Write about that!!!",-2,"Lindenhurst, NY"
5706,As a result the @NRA will go down “guns blazing”... sell as much as they can before the new establishment shuts them down. #nationalwalkoutday ,-2,"Austin, TX"
5707,@cambreedawn still waiting for someone to explain to me how ruining ur teachers lesson plans and backing up ur education a day helps with gun control or school shootings? The whole walk out was embarrassing and immature. it didn’t help with anything.,-2,"Utah, USA"
5708,#GunControlNow #NRABloodMoney ,-2,"Jiménez, Puerto Rico"
5709,I applaud all of these schools and @aimsmddc for coming together for this important issue. #CommonSenseGunLaws ,-2,"Baltimore, MD"
5710,Powerful ,-2,"Country Club, FL"
5711,Making guns illegal won’t change things. #protectmewithguns ,-2,"Youngstown, NY"
5712,"@SuzanneFlynnRN @Alynn7513 @RepTedDeutch Current 2018 US Death Toll:

Abortion- 137,080
Tobacco- 43,934
Obesity- 38,537
Medical Error- 31,565
Alcohol- 12,553
Suicide- 5369
Drunk Driving- 4244
Poisoning- 3987
Prescription Drugs- 1883
Murder by Guns- 1443",-2,"Abilene, TX"
5713,"@SenSanders today, I, alongside 36 other students, were discouraged by our school to practice our first amendment rights of freedom of speech and assembly (threat of suspension) to take a stand on gun reform and commemorate those kids in Parkland! THIS WILL NOT STOP US!",-2,"Lindenhurst, NY"
5714,"@RKJ65 As usual when Joel speaks, I don't feel anything.  He's literally wasted air and space.  He can tantrum about his gun-totin' civil rights all he wants. The times, they are a-changing. #GunReformNow",-2,"Atlanta, GA"
5715,Students from SF share their thoughts on gun reform in front of City Hall. Many liked the idea I am promoting to regulate guns AT LEAST as much as we regulate car sales and operation.  @AmberKTVU @KQEDnews @SFWeekly @EskSF @SFGate,-2,"San Francisco, CA"
5716,"But by all means, the answer is more guns. What the actual fuck man. Self defense??? This is murder. ",-2,"San Antonio, TX"
5717,That awkward moment when you tweet something you think only six people will see ,-2,"Druid Hills, GA"
5718,This headline.. ,-2,"Brighton, NY"
5719,"When will Bernie Sanders get the Hillary treatment? You know: Full-Monty, raked over hot coals, deep-cavity search, bend over and cough, nuts in a vice, 11-hour grilling, electrodes on his testes vetting? ",-2,"Los Angeles, CA"
5720,@joeldavidsawyer @jcshurburtt Not a good comparison.  Students walking out of school to demonstrate need for gun control to prevent school shootings is extremely relevant and on topic.  Students walking out to protest the Russia investigation has nothing to do with school and would accomplish nothing,-2,"South Carolina, USA"
5721,This is such an insensitive thing to say. A month ago 17 people were killed inside of a SCHOOL building. A place where we’re supposed to feel safe. Today we were out there supporting every single one of those lives lost. So please just shut up. ,-2,"Louisville, KY"
5722,Who are these so called leaders condoning children to ship school to protest guns? Here's to you: GAG,-2,"Pennsylvania, USA"
5723,@HillaryWarnedUs Especially one who never voted for gun control.,-2,"Indiana, USA"
5724,"“European lovers of violence...” you mean subway bombings and mass stabbing and driving trucks into crowds of people, yeah, I’ll pass and keep my guns ",-2,"Patterson Township, PA"
5725,"@heyhi_mandy @OH4Kucinich @RichCordray @Dennis_Kucinich @Emma4Change @ForParkland Did they have a right to compel Cordray to give a supportive speech at the rally? Or did he do that because he’s personally enthusiastic about the message they were delivering (you know, with their ‘speaking’ guns). Yeah, you’re a little turned around, I think. Sorry :(",-2,"Columbus, OH"
5726,😂😂😂 I’m laughing cause I heard about it from someone else ,-2,"Indianapolis, IN"
5727,Was Freedom's walkout silence for the 17 victims or walkout for gun control? Lmk please,-2,"Oakley, CA"
5728,Glad to know you and call you friend. We miss you in Oklahoma! Thanks for always speaking up for what’s right! ,-2,"Norman, OK"
5729,"@Sam_Galanis I guess when it comes to gun fanatics, all logic is thrown out the door. Just look at the their arguments against gun control laws",-2,"Bellview, FL"
5730,Are you retarded or just stupid? ,-2,"Noblesville, IN"
5731,@TheGreatFeather @BillOReilly Are you kidding me the kids are just tired of going to school and worrying about getting shot. They see that in other developed countries this doesn’t happen because those countries aren’t filled with guns so they want gun control here. Seems sensible to me!,-2,"New Orleans, LA"
5732,"@DrTomMartinPhD @LMAO_in_Fla “Disrespecting the flag”

“Put guns in classrooms”

“Chain migration”

“Middle-class taxbill”

“Pro-life”

“America first”

“Patriot Act”

“Citizens United”

“Build a Wall”",-2,"Austin, TX"
5733,"If RFID chip technology can be incorporated into badges for cons, they can definitely and affordably be mandated for guns.",-2,"Los Angeles, CA"
5734,"@barstoolcurmudg @ABCWorldNews @TomLlamasABC @TVMarci More guns should be in Americans hands for there own protection..The government of Nazi Germany,,removed guns so they could have MORE control NOT LESS.Why you you believe our government has anymore pure thoughts.for us ??",-2,"Arizona, USA"
5735,"It's just past 2pm and already three separate incidents of shots being fired at American schools, two from guns carried by teachers.

Remember those representatives who chose NRA money over our children's lives this November. 

#enough #BoycottTheNRA",-2,"Los Angeles, CA"
5736,"We are taught history so we don’t repeat it. For all of you advocating to ban all guns, I want you to know thats exactly what Hitler did when he was in power and how did that work out?",-2,"Maple Grove, MN"
5737,Dog looks guilty as hell. ,-2,"Washington, DC"
5738,@President1Trump @WhiteHouse I’m glad they are being escorted by policemen WITH guns to protect them.,-2,"Seaford, DE"
5739,This savage truth ,-2,"Los Angeles, CA"
5740,You go Kaya! #JointheNRA ,-2,"Thousand Oaks, CA"
5741,What I would give to have McDonald's but I gotta stick to my guns and avoid fast food at all cost!,-2,"Westland, MI"
5742,As a black man I second this point 🙃 ,-2,"Absecon, NJ"
5743,"@aIexandraleighh @beaxsalazar Things monty people will walk-out for: prom, instagram likes, bagel barn

Things monty people will not walk-out for: racism, sexism, gun-control",-2,"Boston, MA"
5744,"@davidhogg111 U R so naive, it would be laughable if you weren't so pathetic. Please give YOUR version of why any new ""gun control measures"" will work when the THOUSANDS already passed have failed so miserably. How do u propose 2 get the bad guys to go along THIS TIME??",-2,"Rosenberg, TX"
5745,@LastPodNetwork @BenKissel @marcusparks Listening to @BenKissel read the emails at the end and talk about taking hunter’s safety and I had to take it as part of my health class when I was in jr high(20ish years ago). I do think this was helpful for us to know about and respect guns. Now it would never fly at school.,-2,"Laramie, WY"
5746,@nirvin_s @Twitter @studentswalkout How many members of the NRA and our Political representatives who are against making a safer environment for guns had children or family at ANY of these completely senseless  tragedies?,-2,"Berlin, NJ"
5747,@nirvin_s @Twitter @studentswalkout How many members of the NRA and our Political representatives who are against making a safer environment for guns had children or family at ANY of these completely senseless  tragedies?,-2,"Berlin, NJ"
5748,@skb_sara @good4politics @SKYRIDER4538 @Tabasc0NGinger @VFL2013 @phil200269 @LeahR77 @Redheaded_Jenn @MTReserved @hrenee80 @writemombritt @dodt2003 Some people are just pure evil and no gun control or mental health can stop evil only an ar-15 can,-2,"College Station, TX"
5749,Omg laughing at how not funny this is. MORE GUNS IS NEVER THE SOLUTION ,-2,"Redondo Beach, CA"
5750,@Yes_ItsPrinc3ss yep Reagan found gun control balls in the 60's when the Panthers started walking around with guns,-2,"Manhattan, NY"
5751,@Xlucas78 I’m talking about guns and other things people debate over,-2,"North Chicago, IL"
5752,@pascoschools They’re gathered to demand gun control.,-2,"Lake Magdalene, FL"
5753,"Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?",-2,"Henderson, NV"
5754,@NRA Not when my life is in danger because of your guns.,-2,"Altamonte Springs, FL"
5755,"@CloydRivers As says my grandma from Alabama: ""Guns should be allowed ONLY for White people. Problem solved.""",-2,"South Carolina, USA"
5756,#teamcap ,-2,"Fullerton, CA"
5757,**Protect Children---NOT Guns  #NoMoreGunViolence,-2,"Duluth, MN"
5758,"Ok, let the Terrorist come in then! ",-2,"Kansas, USA"
5759,"Border, Texas is NOTORIOUS FOR infringing on the rights of its citizens. I’m quite certain the @ACLU &amp; The @ACLUTx is VERY Familiar with the Gun Toting Red Neck Mentality Of Texas Law Enforcement. Abortion rights are stomped on etc., Texas hasn’t figured out that in order",-2,"Houston, TX"
5760,#fireMcCabe ,-2,"Pendleton, SC"
5761,@JSolo1977. Help im stuck in the Leftist rabbit hole again! ,-2,"Manhattan, NY"
5762,🤣🤣🤣🤣🤣🤣🤣🤣 ,-2,"Los Angeles, CA"
5763,It’s inspiring to see the State House flooded with students calling for common sense gun reform. The time for action is now and we must keep guns out of our schools! ,-2,Rhode Island State House
5764,"Students: We want it to stop being easy to bring a gun into a sch—
GOP: MORE GUNS 
Students: No, we said we do—
GOP: GUNS FOR TEACHERS 
Students: But not all teachers are trustw—
GOP: PUT AS MANY GUNS INTO SCHOOLS AS YOU CAN 
Students: But that’s even more dan—
GOP: TEACHER ARMY",-2,"Pittsburgh, PA"
5765,"Some teacher signs read: “Arm me with books, not guns,” “Protect children not guns,” Arm me w/ counselors not guns!” Teachers want more resources like counselors, books, social workers, mental health training and more teachers, instead of arming teachers. ",-2,"Clayton, MO"
5766,"@NRA The problem is you haven’t been able to control your guns; therefore, laws will be added to make sure you do control your guns, Thank You.",-2,"Plano, TX"
5767,I couldn't watch long enough to see Pocahontas push fake tears out the sound of her broken up Snibbling Crap makes me sick. ,-2,"Coral Terrace, FL"
5768,These kids are so far down the “going nowhere” trail and they can’t even see it. ,-2,"Roswell, GA"
5769,@VildyViix @mom4mj @ArtBurleson @pjrocks @Vote_Blue_2018 @NRA This scenario is true if we don’t make changes in society and reform gun laws. We must agree to disagree. I think we should have defenses in place just not guns. So I’d actually tranquilize the shooter before taking a bullet. ,-2,"Oswego, IL"
5770,"@JonScottFNC Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?",-2,"Henderson, NV"
5771,It’s ridiculous how many people you can hear talking and laughing in the background. School shootings are happening practically every day now. It’s actions like this that get the NRA and the government’s attention. Be respectful to those who lost their lives and honor them. ,-2,"Newport News, VA"
5772,"No,  no , kids hate a day off from school to audition for #OLDMEDIA.

Pick me, pick me. I want to be like Hogg. I can read lines better than he can. ",-2,"Port Orange, FL"
5773,"@Rhionah120 I get that part, but it’s all about guns. I get the part of showing respect and I get that, but it’s a protest. Im allowed to have my opinion. It’s my right. Just likes it my right to bear arms.",-2,"Fonda, NY"
5774,@cameron_kasky @NRA Dear NRA: But you don’t control your gun or the guns killing people every single day which is why we need gun control. Get it?,-2,"Massachusetts, USA"
5775,"@lewsiberttampa @marcorubio @PoliticsTBTimes Assault is a verb, every firearms can be used to assault. Are you advocating for the banning of every single firearm?",-2,"Fairfield, CA"
5776,"I hope all of you teens who walked out today realize that you as teens are take more lives than school shootings. Total number of abortions since 1980: 7,848,866
Total number of deaths due to school shootings since 1980: 297",-2,"Iowa, USA"
5777,"@MJGerson Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?",-2,"Henderson, NV"
5778,Apparently this was a hoax. Thanks for the scare. 😒 ,-2,"Collingswood, NJ"
5779,@DLoesch More guns in school is not the answer,-2,"Virginia, USA"
5780,"@craigtimes @FLGovScott @stevebousquet And this is why the solution is fewer guns, rather than increasing the number of security officers in schools.",-2,"Boca Raton, FL"
5781,"@ElRealColonel @TulsiPress Yeah I get the it. But what I don't get is that I'll mention to people that they lock their cars and their home doors, why don't they lock their guns up because they mostly get stolen and used in crimes? Peace is the answer not more weapons or violence",-2,"Everett, WA"
5782,"@LouisFarrakhan Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?",-2,"Henderson, NV"
5783,Yo go Shaq! Shaq for President in 2024! ,-2,"Thousand Oaks, CA"
5784,Amen!!! ,-2,"Houston, TX"
5785,GUN CONTROL. ,-2,"Reno, NV"
5786,"@fran_chambers Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?",-2,"Henderson, NV"
5787,Brazil has a ban on guns police are the only people that are suppose to have them and there’s hardly any problems with guns there I’m not saying to get rid of them because that’s basically impossible in America but putting higher ages and more restrictions on guns would help,-2,"Indiana, USA"
5788,Stand your ground @MiekeEoyang ! No guns though. ,-2,"East Hartford, CT"
5789,"@RevDrBarber @JoyAnnReid Don't use these kids. Let them grow up. The NRA didn't shoot those kids, Cruz did. For that he should be given life with no parole.  I don't have guns nor want them.",-2,"Harrison, NY"
5790,🔥💯🔥💯🔥💯🔥💯🔥💯 ,-2,"Cleveland Heights, OH"
5791,Fighting for gun control won’t mean anything if you’re still bullying the student who doesn’t “fit in”.  Change doesn’t start with the govt It starts with the school and the students in that school. You can’t expect change when the issue is happening in the hallways &amp; classrooms,-2,"Turlock, CA"
5792,"#guncontrolnowbecause

Armed teachers will cause more deaths through accidents and misuse, stopping school shootings is about limiting access not granting it.",-2,"Philadelphia, PA"
5793,#Shaqforpresident2024 ,-2,"Thousand Oaks, CA"
5794,"Just me, or is it obvious #NationalStudentWalkout is using children as tools 2push same old gun control hysteria. They should B ashamed, taking advantage of their tragedy. Follow the money, who's behind pulling strings. #WomansMarch/#Hollywood/#SOROS/@MediaMatters4W/@CNN ",-2,"Washington, DC"
5795,"If it was really about safety, it would be about solutions 2 criminal misuses of firearms &amp; target mental health indicators. Gun Control is the goal, not saving lives.
So far in 2018 Chicago...  ",-2,"Washington, DC"
5796,"#TheFive  if these kids protested for gun control, maybe they should have lunch with the kids who they make fun of, all they are pawns for the Democratic Party",-2,"Moreno Valley, CA"
5797,@faknapps @SpeakerRyan That would mean banning nearly every handgun too. You want to go back to six shooters and shot guns?,-2,"Reidsville, NC"
5798,@swiftliz216 @pattonoswalt Those damn liberals against guns. Ain't gonna decide nothin for her chil'ren.,-2,"Fairview Park, OH"
5799,"@SiddonsDan Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?",-2,"Henderson, NV"
5800,yeah michael i mean you remember the most recent hammer massacre? me too. so brutal. poor nonexistent people and their families. prayers up. hammer rights are an american right. ,-2,"Pomona, CA"
5801,"@jamespavlick @nfaschool @ChrisMurphyCT We were memorializing the deceased, not protesting guns. If you feel your rights are being infringed upon, perhaps you should contact the state senator’s office. That seems like a better option than commenting on a high school’s post and saying rude things about its students.",-2,"Westerly, RI"
5802,"@realDonaldTrump Until you do something about the GUNS, it is not going to stop!! You blithering idiot!",-2,"Tennessee, USA"
5803,Message me for more info on where to send your evil guns. ,-2,"Doney Park, AZ"
5804,"@chiprussell35 Not all liberals are crying “ban guns”, we’re calling for a change. BOTH sides should want to see that, but, with that corrupt govt. it’s kinda hard pal. Check your facts before you call standing for what you believe in a “catalyst for liberals”.",-2,"Panama City Beach, FL"
5805,"@britneyspears Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?",-2,"Henderson, NV"
5806,"@TechnicallyADoc @PalmettoArmory Thank you for the reminder, I always enjoy the chance to reference this article.  I wonder how many times he voted against gun control legislation thinking of his or his family's profit over trying to limit lost lives.

",-2,"Aiken, SC"
5807,"@realDonaldTrump The solution to gun violence is NOT MORE GUNS, you MORON!",-2,"San Diego, CA"
5808,a few thoughts on guns from your liberal hippy friend...,-2,"Portland, OR"
5809,"@SKYRIDER4538 Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?",-2,"Henderson, NV"
5810,@realDonaldTrump Thank you. Guns are not the problem. It is an immoral society problem.,-2,"North Carolina, USA"
5811,"1978...they can take my guns away from me , it will be out of my cold dead hands.....when guns at outlawed , only outlaws will have guns.....guns protect old people from young thugs...",-2,"Alabama, USA"
5812,"I hope all of you teens who walked out today realize that you as teens take more lives than school shooters. Total number of abortions since 1980: 7,848,866
Total number of deaths due to school shootings since 1980: 297",-2,"Iowa, USA"
5813,"@GrizzleMeister Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?",-2,"Henderson, NV"
5814,This is what America wants though. But they're trained get the Fuck out of here ! ,-2,"New Orleans, LA"
5815,I wonder how the youth of America feel about gun control. Hmmm idk? #WalkoutWednesday ,-2,"Kaysville, UT"
5816,"@MarkCGlaze Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?",-2,"Henderson, NV"
5817,@washingtonpost I love teachers. I love students. I adore our public schools. Teachers have absolutely NO business brandishing firearms.  No matter their training. Police officers are HIGHLY trained yet still miss their targets more often than they hit them ... with no children around.,-2,"Kure Beach, NC"
5818,"#TheFive Juan was correct no one crossed the border virtually, they crossed in reality with their drugs, guns and child hostages. Any show Juan is on is @foxnews submission for the next Fake News Award.",-2,"Ocala, FL"
5819,Just what do you have wrapped in this bill? Does you NRA bosses approve? No guns on school!! ,-2,"Wisconsin, USA"
5820,"@GAKechnie @NicolinaSurel @DKon @dcopaken @shannoncoulter For people with a basic understand of statistics, it doesn't happen here either. Mass shootings in schools make big news, but its still a statistical outlier. Just as I don't buy a lottery ticket, I'm not worried that someone is going to shoot up my kids school.",-2,"Wentzville, MO"
5821,"@SiddonsDan @ReneeCarrollAZ @FBI @SecretService @DHSgov @FDATobacco @WhiteHouse @StateDept @DLoesch @NRA People are so frickin sick. This! This right here shows it isn't guns.  It is sick humans!
And we will continue to pray for all.",-2,"Dakota Ridge, CO"
5822,"@kylegriffin1 Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?",-2,"Henderson, NV"
5823,And I respect this. Next it’s our guns. You’ll see ,-2,"Fonda, NY"
5824,"@realDonaldTrump Major steps would have been strengthening our inadequate gun control laws, you stooped to the level of the terrorist organization the NRA, we need to protect our children, and more guns is not the answer, vote Blue in November!",-2,"Taylorsville, UT"
5825,"@MatthewSabio Sorry Matthew, this country won't exist in 15-20 years when he's eligible if this type of thinking prevails. We are living in George Orwell's 1984 &amp; that's not exaggeration. NYC recently installed facial recognition towers in main arteries of the city. Guns = freedom",-2,"Cheektowaga, NY"
5826,"Just a reminder👌🏻barnie out there grabbing every mic to 'support' gun control 🙄is pretty pathetic‼He's trying to bring more kids into his #CULT😖Don't fall for it, #MSD; it's a HOAX👈🏻👈🏻✅👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻 ",-2,"Branson, MO"
5827,@cameron_kasky Homes @cameron_kasky. Don’t forget in their own homes. Guns in homes increase risk of death. Especially for women and children. #NeverAgain 🧡,-2,"Alexandria, VA"
5828,"@WendyOsefo Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?",-2,"Henderson, NV"
5829,the same kids that want to ban symbolic speech also want the right to walk out of class and exercise free speech to protest guns.... lol #rhswalkout,-2,"Visalia, CA"
5830,That can come to take my guns but they have to take the bullets first. One for each trigger pull because they are semi automatic ,-2,"Nevada, USA"
5831,Why would someone’s recreational activity mean more to them then the lives of the 96 Americans who are killed with guns?,-2,"Walla Walla, WA"
5832,"@Citizens_United Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?",-2,"Henderson, NV"
5833,@realDonaldTrump Have noticed how many trained law enforcement people have accidentally shot guns in school in the last week?  Moron.,-2,"Indiana, USA"
5834,Go visit my friends! They make awesome things! ,-2,"Los Angeles, CA"
5835,Wasn’t this supposed to be to honor the 17 people who got killed? Classless. ,-2,"Oshkosh, WI"
5836,Today’s walkout to demand gun control ✊ ,-2,"Wisconsin, USA"
5837,"There is a tidal wave coming that none in politics or media is ready for or comprehends. It’s bigger than guns, bigger than parties, bigger than borders. The #NewGen so long dismissed is smarter, organized, sophisticated, and compassionate at levels unseen before. Stand! ",-2,"Washington, DC"
5838,"@AJCGlobal Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?",-2,"Henderson, NV"
5839,Pretty sure that would lead to an increase in violence. ,-2,"Connecticut, USA"
5840,"@realDonaldTrump We need to put America's children first by banning assault guns, strengthening universal background checks, and improving mental health care for everyone. A tragedy like Parkland can never happen again",-2,"Illinois, USA"
5841,Students across the nation banded together by walking out of school to demand strong gun laws. This comes one month after 17 people were killed at a school in Florida. Hear @NathanHaleHigh students’ message at 5. @KTULNews ,-2,"Tulsa, OK"
