,Tweet,Location,For guns?
5736,"We are taught history so we don’t repeat it. For all of you advocating to ban all guns, I want you to know thats exactly what Hitler did when he was in power and how did that work out?","Maple Grove, MN",1.0
5737,Dog looks guilty as hell. ,"Washington, DC",-2.0
5738,@President1Trump @WhiteHouse I’m glad they are being escorted by policemen WITH guns to protect them.,"Seaford, DE",-2.0
5739,This savage truth ,"Los Angeles, CA",-2.0
5740,You go Kaya! #JointheNRA ,"Thousand Oaks, CA",-2.0
5741,What I would give to have McDonald's but I gotta stick to my guns and avoid fast food at all cost!,"Westland, MI",-2.0
5742,As a black man I second this point 🙃 ,"Absecon, NJ",-2.0
5743,"@aIexandraleighh @beaxsalazar Things monty people will walk-out for: prom, instagram likes, bagel barn

Things monty people will not walk-out for: racism, sexism, gun-control","Boston, MA",-2.0
5744,"@davidhogg111 U R so naive, it would be laughable if you weren't so pathetic. Please give YOUR version of why any new ""gun control measures"" will work when the THOUSANDS already passed have failed so miserably. How do u propose 2 get the bad guys to go along THIS TIME??","Rosenberg, TX",-2.0
5745,@LastPodNetwork @BenKissel @marcusparks Listening to @BenKissel read the emails at the end and talk about taking hunter’s safety and I had to take it as part of my health class when I was in jr high(20ish years ago). I do think this was helpful for us to know about and respect guns. Now it would never fly at school.,"Laramie, WY",0.0
5746,@nirvin_s @Twitter @studentswalkout How many members of the NRA and our Political representatives who are against making a safer environment for guns had children or family at ANY of these completely senseless  tragedies?,"Berlin, NJ",-2.0
5747,@nirvin_s @Twitter @studentswalkout How many members of the NRA and our Political representatives who are against making a safer environment for guns had children or family at ANY of these completely senseless  tragedies?,"Berlin, NJ",-2.0
5748,@skb_sara @good4politics @SKYRIDER4538 @Tabasc0NGinger @VFL2013 @phil200269 @LeahR77 @Redheaded_Jenn @MTReserved @hrenee80 @writemombritt @dodt2003 Some people are just pure evil and no gun control or mental health can stop evil only an ar-15 can,"College Station, TX",0.0
5749,Omg laughing at how not funny this is. MORE GUNS IS NEVER THE SOLUTION ,"Redondo Beach, CA",0.0
5750,@Yes_ItsPrinc3ss yep Reagan found gun control balls in the 60's when the Panthers started walking around with guns,"Manhattan, NY",-2.0
5751,@Xlucas78 I’m talking about guns and other things people debate over,"North Chicago, IL",-2.0
5752,@pascoschools They’re gathered to demand gun control.,"Lake Magdalene, FL",-2.0
5753,"Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?","Henderson, NV",-2.0
5754,@NRA Not when my life is in danger because of your guns.,"Altamonte Springs, FL",-2.0
5755,"@CloydRivers As says my grandma from Alabama: ""Guns should be allowed ONLY for White people. Problem solved.""","South Carolina, USA",0.0
5756,#teamcap ,"Fullerton, CA",-2.0
5757,**Protect Children---NOT Guns  #NoMoreGunViolence,"Duluth, MN",-2.0
5758,"Ok, let the Terrorist come in then! ","Kansas, USA",-2.0
5759,"Border, Texas is NOTORIOUS FOR infringing on the rights of its citizens. I’m quite certain the @ACLU &amp; The @ACLUTx is VERY Familiar with the Gun Toting Red Neck Mentality Of Texas Law Enforcement. Abortion rights are stomped on etc., Texas hasn’t figured out that in order","Houston, TX",1.0
5760,#fireMcCabe ,"Pendleton, SC",-2.0
5761,@JSolo1977. Help im stuck in the Leftist rabbit hole again! ,"Manhattan, NY",-2.0
5762,🤣🤣🤣🤣🤣🤣🤣🤣 ,"Los Angeles, CA",-2.0
5763,It’s inspiring to see the State House flooded with students calling for common sense gun reform. The time for action is now and we must keep guns out of our schools! ,Rhode Island State House,-2.0
5764,"Students: We want it to stop being easy to bring a gun into a sch—
GOP: MORE GUNS 
Students: No, we said we do—
GOP: GUNS FOR TEACHERS 
Students: But not all teachers are trustw—
GOP: PUT AS MANY GUNS INTO SCHOOLS AS YOU CAN 
Students: But that’s even more dan—
GOP: TEACHER ARMY","Pittsburgh, PA",0.0
5765,"Some teacher signs read: “Arm me with books, not guns,” “Protect children not guns,” Arm me w/ counselors not guns!” Teachers want more resources like counselors, books, social workers, mental health training and more teachers, instead of arming teachers. ","Clayton, MO",-2.0
5766,"@NRA The problem is you haven’t been able to control your guns; therefore, laws will be added to make sure you do control your guns, Thank You.","Plano, TX",1.0
5767,I couldn't watch long enough to see Pocahontas push fake tears out the sound of her broken up Snibbling Crap makes me sick. ,"Coral Terrace, FL",-2.0
5768,These kids are so far down the “going nowhere” trail and they can’t even see it. ,"Roswell, GA",1.0
5769,@VildyViix @mom4mj @ArtBurleson @pjrocks @Vote_Blue_2018 @NRA This scenario is true if we don’t make changes in society and reform gun laws. We must agree to disagree. I think we should have defenses in place just not guns. So I’d actually tranquilize the shooter before taking a bullet. ,"Oswego, IL",0.0
5770,"@JonScottFNC Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?","Henderson, NV",-2.0
5771,It’s ridiculous how many people you can hear talking and laughing in the background. School shootings are happening practically every day now. It’s actions like this that get the NRA and the government’s attention. Be respectful to those who lost their lives and honor them. ,"Newport News, VA",0.0
5772,"No,  no , kids hate a day off from school to audition for #OLDMEDIA.

Pick me, pick me. I want to be like Hogg. I can read lines better than he can. ","Port Orange, FL",0.0
5773,"@Rhionah120 I get that part, but it’s all about guns. I get the part of showing respect and I get that, but it’s a protest. Im allowed to have my opinion. It’s my right. Just likes it my right to bear arms.","Fonda, NY",1.0
5774,@cameron_kasky @NRA Dear NRA: But you don’t control your gun or the guns killing people every single day which is why we need gun control. Get it?,"Massachusetts, USA",-2.0
5775,"@lewsiberttampa @marcorubio @PoliticsTBTimes Assault is a verb, every firearms can be used to assault. Are you advocating for the banning of every single firearm?","Fairfield, CA",0.0
5776,"I hope all of you teens who walked out today realize that you as teens are take more lives than school shootings. Total number of abortions since 1980: 7,848,866
Total number of deaths due to school shootings since 1980: 297","Iowa, USA",0.0
5777,"@MJGerson Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?","Henderson, NV",-2.0
5778,Apparently this was a hoax. Thanks for the scare. 😒 ,"Collingswood, NJ",-2.0
5779,@DLoesch More guns in school is not the answer,"Virginia, USA",-2.0
5780,"@craigtimes @FLGovScott @stevebousquet And this is why the solution is fewer guns, rather than increasing the number of security officers in schools.","Boca Raton, FL",0.0
5781,"@ElRealColonel @TulsiPress Yeah I get the it. But what I don't get is that I'll mention to people that they lock their cars and their home doors, why don't they lock their guns up because they mostly get stolen and used in crimes? Peace is the answer not more weapons or violence","Everett, WA",0.0
5782,"@LouisFarrakhan Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?","Henderson, NV",-2.0
5783,Yo go Shaq! Shaq for President in 2024! ,"Thousand Oaks, CA",-2.0
5784,Amen!!! ,"Houston, TX",-2.0
5785,GUN CONTROL. ,"Reno, NV",-2.0
5786,"@fran_chambers Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?","Henderson, NV",-2.0
5787,Brazil has a ban on guns police are the only people that are suppose to have them and there’s hardly any problems with guns there I’m not saying to get rid of them because that’s basically impossible in America but putting higher ages and more restrictions on guns would help,"Indiana, USA",0.0
5788,Stand your ground @MiekeEoyang ! No guns though. ,"East Hartford, CT",-2.0
5789,"@RevDrBarber @JoyAnnReid Don't use these kids. Let them grow up. The NRA didn't shoot those kids, Cruz did. For that he should be given life with no parole.  I don't have guns nor want them.","Harrison, NY",-2.0
5790,🔥💯🔥💯🔥💯🔥💯🔥💯 ,"Cleveland Heights, OH",-2.0
5791,Fighting for gun control won’t mean anything if you’re still bullying the student who doesn’t “fit in”.  Change doesn’t start with the govt It starts with the school and the students in that school. You can’t expect change when the issue is happening in the hallways &amp; classrooms,"Turlock, CA",0.0
5792,"#guncontrolnowbecause

Armed teachers will cause more deaths through accidents and misuse, stopping school shootings is about limiting access not granting it.","Philadelphia, PA",-2.0
5793,#Shaqforpresident2024 ,"Thousand Oaks, CA",-2.0
5794,"Just me, or is it obvious #NationalStudentWalkout is using children as tools 2push same old gun control hysteria. They should B ashamed, taking advantage of their tragedy. Follow the money, who's behind pulling strings. #WomansMarch/#Hollywood/#SOROS/@MediaMatters4W/@CNN ","Washington, DC",-2.0
5795,"If it was really about safety, it would be about solutions 2 criminal misuses of firearms &amp; target mental health indicators. Gun Control is the goal, not saving lives.
So far in 2018 Chicago...  ","Washington, DC",1.0
5796,"#TheFive  if these kids protested for gun control, maybe they should have lunch with the kids who they make fun of, all they are pawns for the Democratic Party","Moreno Valley, CA",-2.0
5797,@faknapps @SpeakerRyan That would mean banning nearly every handgun too. You want to go back to six shooters and shot guns?,"Reidsville, NC",0.0
5798,@swiftliz216 @pattonoswalt Those damn liberals against guns. Ain't gonna decide nothin for her chil'ren.,"Fairview Park, OH",-2.0
5799,"@SiddonsDan Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?","Henderson, NV",-2.0
5800,yeah michael i mean you remember the most recent hammer massacre? me too. so brutal. poor nonexistent people and their families. prayers up. hammer rights are an american right. ,"Pomona, CA",1.0
5801,"@jamespavlick @nfaschool @ChrisMurphyCT We were memorializing the deceased, not protesting guns. If you feel your rights are being infringed upon, perhaps you should contact the state senator’s office. That seems like a better option than commenting on a high school’s post and saying rude things about its students.","Westerly, RI",1.0
5802,"@realDonaldTrump Until you do something about the GUNS, it is not going to stop!! You blithering idiot!","Tennessee, USA",-2.0
5803,Message me for more info on where to send your evil guns. ,"Doney Park, AZ",-2.0
5804,"@chiprussell35 Not all liberals are crying “ban guns”, we’re calling for a change. BOTH sides should want to see that, but, with that corrupt govt. it’s kinda hard pal. Check your facts before you call standing for what you believe in a “catalyst for liberals”.","Panama City Beach, FL",1.0
5805,"@britneyspears Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?","Henderson, NV",-2.0
5806,"@TechnicallyADoc @PalmettoArmory Thank you for the reminder, I always enjoy the chance to reference this article.  I wonder how many times he voted against gun control legislation thinking of his or his family's profit over trying to limit lost lives.

","Aiken, SC",0.0
5807,"@realDonaldTrump The solution to gun violence is NOT MORE GUNS, you MORON!","San Diego, CA",0.0
5808,a few thoughts on guns from your liberal hippy friend...,"Portland, OR",-2.0
5809,"@SKYRIDER4538 Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?","Henderson, NV",-2.0
5810,@realDonaldTrump Thank you. Guns are not the problem. It is an immoral society problem.,"North Carolina, USA",0.0
5811,"1978...they can take my guns away from me , it will be out of my cold dead hands.....when guns at outlawed , only outlaws will have guns.....guns protect old people from young thugs...","Alabama, USA",1.0
5812,"I hope all of you teens who walked out today realize that you as teens take more lives than school shooters. Total number of abortions since 1980: 7,848,866
Total number of deaths due to school shootings since 1980: 297","Iowa, USA",-2.0
5813,"@GrizzleMeister Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?","Henderson, NV",-2.0
5814,This is what America wants though. But they're trained get the Fuck out of here ! ,"New Orleans, LA",-2.0
5815,I wonder how the youth of America feel about gun control. Hmmm idk? #WalkoutWednesday ,"Kaysville, UT",-2.0
5816,"@MarkCGlaze Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?","Henderson, NV",-2.0
5817,@washingtonpost I love teachers. I love students. I adore our public schools. Teachers have absolutely NO business brandishing firearms.  No matter their training. Police officers are HIGHLY trained yet still miss their targets more often than they hit them ... with no children around.,"Kure Beach, NC",0.0
5818,"#TheFive Juan was correct no one crossed the border virtually, they crossed in reality with their drugs, guns and child hostages. Any show Juan is on is @foxnews submission for the next Fake News Award.","Ocala, FL",-2.0
5819,Just what do you have wrapped in this bill? Does you NRA bosses approve? No guns on school!! ,"Wisconsin, USA",-2.0
5820,"@GAKechnie @NicolinaSurel @DKon @dcopaken @shannoncoulter For people with a basic understand of statistics, it doesn't happen here either. Mass shootings in schools make big news, but its still a statistical outlier. Just as I don't buy a lottery ticket, I'm not worried that someone is going to shoot up my kids school.","Wentzville, MO",-2.0
5821,"@SiddonsDan @ReneeCarrollAZ @FBI @SecretService @DHSgov @FDATobacco @WhiteHouse @StateDept @DLoesch @NRA People are so frickin sick. This! This right here shows it isn't guns.  It is sick humans!
And we will continue to pray for all.","Dakota Ridge, CO",1.0
5822,"@kylegriffin1 Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?","Henderson, NV",-2.0
5823,And I respect this. Next it’s our guns. You’ll see ,"Fonda, NY",-2.0
5824,"@realDonaldTrump Major steps would have been strengthening our inadequate gun control laws, you stooped to the level of the terrorist organization the NRA, we need to protect our children, and more guns is not the answer, vote Blue in November!","Taylorsville, UT",0.0
5825,"@MatthewSabio Sorry Matthew, this country won't exist in 15-20 years when he's eligible if this type of thinking prevails. We are living in George Orwell's 1984 &amp; that's not exaggeration. NYC recently installed facial recognition towers in main arteries of the city. Guns = freedom","Cheektowaga, NY",0.0
5826,"Just a reminder👌🏻barnie out there grabbing every mic to 'support' gun control 🙄is pretty pathetic‼He's trying to bring more kids into his #CULT😖Don't fall for it, #MSD; it's a HOAX👈🏻👈🏻✅👇🏻👇🏻👇🏻👇🏻👇🏻👇🏻 ","Branson, MO",0.0
5827,@cameron_kasky Homes @cameron_kasky. Don’t forget in their own homes. Guns in homes increase risk of death. Especially for women and children. #NeverAgain 🧡,"Alexandria, VA",-2.0
5828,"@WendyOsefo Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?","Henderson, NV",-2.0
5829,the same kids that want to ban symbolic speech also want the right to walk out of class and exercise free speech to protest guns.... lol #rhswalkout,"Visalia, CA",-2.0
5830,That can come to take my guns but they have to take the bullets first. One for each trigger pull because they are semi automatic ,"Nevada, USA",0.0
5831,Why would someone’s recreational activity mean more to them then the lives of the 96 Americans who are killed with guns?,"Walla Walla, WA",0.0
5832,"@Citizens_United Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?","Henderson, NV",-2.0
5833,@realDonaldTrump Have noticed how many trained law enforcement people have accidentally shot guns in school in the last week?  Moron.,"Indiana, USA",-2.0
5834,Go visit my friends! They make awesome things! ,"Los Angeles, CA",-2.0
5835,Wasn’t this supposed to be to honor the 17 people who got killed? Classless. ,"Oshkosh, WI",-2.0
5836,Today’s walkout to demand gun control ✊ ,"Wisconsin, USA",-2.0
5837,"There is a tidal wave coming that none in politics or media is ready for or comprehends. It’s bigger than guns, bigger than parties, bigger than borders. The #NewGen so long dismissed is smarter, organized, sophisticated, and compassionate at levels unseen before. Stand! ","Washington, DC",0.0
5838,"@AJCGlobal Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?","Henderson, NV",-2.0
5839,Pretty sure that would lead to an increase in violence. ,"Connecticut, USA",-2.0
5840,"@realDonaldTrump We need to put America's children first by banning assault guns, strengthening universal background checks, and improving mental health care for everyone. A tragedy like Parkland can never happen again","Illinois, USA",0.0
5841,Students across the nation banded together by walking out of school to demand strong gun laws. This comes one month after 17 people were killed at a school in Florida. Hear @NathanHaleHigh students’ message at 5. @KTULNews ,"Tulsa, OK",0.0
5842,"Ok, but tell us how you *really* feel, Raw Story 🤣 ","New York, NY",-2.0
5843,"Especially because there will be no reduction of access to guns, anywhere. ","Bellefonte, PA",1.0
5844,@washingtonpost Does Cali allow guns in schools? I don’t think so.,"San Diego, CA",-2.0
5845,@VaTxn @cspanwj @fbarbash increase the number of guns increase the number of negligent incidents.,"Michigan, USA",-2.0
5846,@Skritzzz I disagree. You might be on to something if you changed it to “law abiding citizens” but I still can’t see that the number of deaths law abiding citizens have prevented using guns exceeds the number of deaths that are caused my guns. I’m not anti-gun...,"California, USA",1.0
5847,"@DevinSenaUI The blood is on your hands. 

This is a uniquely American problem, because we are the land of too many damn guns. Every other first world country as figured out gun control works.","Toledo, OH",0.0
5848,"@Natalie0280 @BetsyDeVosED As @RealDonaldTrump bows to the @NRA, it is up to us to back the students who dared to fight back against “thoughts and prayers” instead of #action against gun violence. #NRABloodMoney
.
","Los Angeles, CA",0.0
5849,"Chicago has the strictest gun laws in the country and the most gun deaths in the country, gun laws will CHANGE NOTHING!! stop trying to take away guns from law abiding citizens trying to protect themselves. ","Tampa, FL",0.0
5850,Everyone is saying we are the future but its true. The only way change will be made is if we continue with what we’re doing. “School Shootings” should not be a term that we associate with the norm. Use your voice and talk about it. Simple conversations can go a long way.,"Voorheesville, NY",0.0
5851,Guns kill people. Point blank fucking period.,"Kentucky, USA",-2.0
5852,Why would someone’s recreational activity mean more to them than the lives of the 96 Americans who are killed with guns?,"Walla Walla, WA",0.0
5853,"@katb1107 @Tumderest And no AR-15 or similar style semiautomatic long guns with high capacity mags. Then what you say would be perfect. 

#VoteThemOut 
#BlueWave","Knoxville, TN",-2.0
5854,"@mp41yfe1 @cambreedawn this did not prove any point towards gun control. if u wanna pay respects to the 17 who died, okay. But don’t say it’s making a statement for gun control. It didn’t.","Utah, USA",-2.0
5855,Why would someone’s recreational activity mean more to them then the lives of the 96 Americans who are killed everyday with guns?,"Walla Walla, WA",0.0
5856,"@realDonaldTrump Raise the legal age to purchase guns.
Bay assault rifles .","Newport Beach, CA",-2.0
5857,"@Maggyw519 @BravenakBlog against Pelosi, gun rights, against abortion. Not saying he's not a Dem, just a little on the conservative side. Put it this way progressives would run to his left. It's cool, I'm for a big tent, no purity test. He stuck to what he knew for the district he's in, its a good thing.","Columbus, OH",0.0
5858,@scrowder I don’t know if you are going to see this or not but I have some video footage of our town hall meeting regarding gun control at Eastern Technical high school with candidates for official positions in Maryland and think you might want to review it.,"Middle River, MD",0.0
5859,When one of your friends is getting recognized 👏🏽👏🏽👏🏽 ,"Los Angeles, CA",-2.0
5860,@signal26 This was my mistake. The walkout was not geared at guns or any type of stance. It was a silent movement aimed at honoring the lives lost and preventing violence. My apologizes.,"New Orleans, LA",-2.0
5861,Such a bittersweet moment seeing that our kids have to fight for stricter gun laws but proud to see my daughter fighting for change #nationalschoolwalkout ,"Roseland, NJ",0.0
5862,Confused as to why students can't both #walkup and #walkout. Are people not capable of showing empathy/compassion and highlighting the power of a planned protest? It seems like #walkupnotout shifts the concern to bullying/mental illness and not gun control. Why not both?,"Freeport, IL",0.0
5863,Also my thoughts and prayers go out to ALL of the victims and their families involved in the school shootings. but gun control is not going to solve the problem,"Smithfield, NC",0.0
5864,"One is more than none...
#WalkoutWednesday ","Paradise, NV",-2.0
5865,A victim of gun violence speaks out about gun violence like you would think a World Champion would.  Thanks @SteveKerr                     ,"Chicago, IL",-2.0
5866,"It’s amazing to see so many students, teachers, parents, and administrators walking out with us and helping us achieve common sense gun laws. We, the kids DO belong in politics. Try to keep us down and we’ll push with more force than you know. #nationwalkoutday #NeverAgainMSD","Syracuse, NY",0.0
5867,@LSUASTROFAN4115 This was my mistake. The walkout was not geared at guns or any type of stance. It was a silent movement aimed at honoring the lives lost and preventing violence. My apologizes.,"New Orleans, LA",-2.0
5868,@realDonaldTrump @WhiteHouse Guns....Space Cowboy.,"Temecula, CA",-2.0
5869,"@MattGPalumbo @grossgaryj @TwitterMoments I'm opposed to 
1. Creating a nationwide target-rich environment by walking out
2. Gun Control &amp; far-Left orgs taking advantage of children.
3. Blaming guns &amp; owners 4 mental health &amp; criminal behavior every tragedy.
4, Demonizing @NRA&amp;sportsmen Etc, etc, etc... ","Washington, DC",1.0
5870,It’s just sad that’s kids can no longer be kids now in days. They are having to fight for their protection while adults shrug and continued cleaning their guns. #EnoughIsEnough,"Lakeland, FL",-2.0
5871,U BUYIN OR DO I NEED TO RUFF U UP? ,"Chicago, IL",-2.0
5872,"The Young People of America
are sending a message to the
Republicans and the MSM.
It ain't ""business as usual""
They're letting them know you're not going to sweep
Gun Control and the NRA
under the rug.
#EnoughIsEnough ","Houston, TX",0.0
5873,@SarahLerner yeah he's taken some votes on guns that I don't agree with but let's not pretend he's stocking up on M60s and military facepaint ,"Los Angeles, CA",-2.0
5874,I will never forget the video of Jim Jones murdering all those innocent people And never forget the feeling I had walking into Dachau Brainwashed the Masses Gun Control advocates We will never let that happen here to 2nd Amend @bobsacard @realDonaldTrump @KayaJones @trish_regan ,"Kennesaw, GA",0.0
5875,The thing is. We think we’re our guns. There is a huge line of miscommunication going on here and a right to say what’s on their minds. The problem is it’s all getting lost in the translation. It’s all up in the air,"Florida, USA",0.0
5876,"@realDonaldTrump We need more guns not less. Stadiums, government offices, etc hire security for their events. Try NO gun free zones. They are targets.  We will not give up a right for safety that does not exist. The cops always get there AFTER the crime.","Bentonville, AR",0.0
5877,#TheFive Juan forgets that the Democratic Party did nothing when they were in charge about gun control,"Moreno Valley, CA",-2.0
5878,@Skritzzz I don’t believe people need firearms that are capable of murdering a mass amount of people easily and quickly. There is no reason that someone needs or should have access to extended magazines and rapid fire guns in my opinion. What use could any law abiding citizen need those...,"Petaluma, CA",0.0
5879,❤️❤️❤️ ,"New Orleans, LA",-2.0
5880,"@realDonaldTrump Let’s put safety first and restrict gun ownership.  This will save lives.

Put partisan politics aside and save lives.

This nonsense from trump just shows he’s owned by the @nra and not representing Americans.","San Antonio, TX",0.0
5881,KEEP👏🏼GUNS👏🏼OUT👏🏼OF👏🏼THE👏🏼CLASSROOM👏🏼 ,"Bristol, RI",-2.0
5882,"@danseeger @amber_athey Teachers and liberal operatives are running this thing. Students with opposing views have said as much. Alcohol, cars and opiates kill many more kids than guns. What should we ban first? Cars? Or maybe packages? Or knives? Or teachers unions?","Missouri City, TX",0.0
5883,Gun control solves NOTHING,"Austin, TX",-2.0
5884,@realDonaldTrump GUN CONTROL JACKASS,"Jefferson Hills, PA",-2.0
5885,"@Scooterocket @news_store_com @AngelCIraq214 @FedEx @RepDonBeyer @HillaryClinton @BarackObama @VA8thCDDems @lowkell @timkaine @Monique4APS @OGradyMonique @FBI @CNN @arlnow @InsideNoVA @WashPostVA @TIME @APSVaSchoolBd @APS_OMA @RandomHousePub @penguinrandom @USArmy @ArlingtonVaPD @realDonaldTrump @OfficialCBC @PastorHJW @ArlingtonVotes @vaELECT @VA8GOP @ArlingtonGOP @charleshernick @ThisAintHell @ArlingtoNAACP @reesbroome @AlexandriaVAPD @Jim_Moran @USPS @jameslander @ACLUVA @demunderground @ARLnowDOTcom @politico @nydems @MarkHerringVA The liberal spin today is that kids want gun control and safer schools, but, as this story demonstrates, how many of these kids, and we remember when we were kids, FEEL vis a vis UNDERSTAND the issue? ","Arlington, VA",-2.0
5886,"wow, my old high school really just suspended 37 kids for taking a stand on what they believe in today. 

Shame on you guys @lindenhursths @LindenhurstUFSD ","West Babylon, NY",-2.0
5887,"#NeverAgainMSD Safeguard 2nd amendment to make all safer. Non-assault style guns r for defense &amp; hunting. ""Off the grid"" says assault weapons r Not the survival weapons of choice due to maintenance issues-finding a good hiding spot w/ easy to maintain non assault rifle is.","Springfield, IL",0.0
5888,@Rosie @Marina_Sirtis @NancyPelosi @chuckschumer @JillianBarberie ,"Boone, IA",-2.0
5889,when you leave the TV on for your dog all day and a Weeds marathon comes on ,"Chicago, IL",-2.0
5890,Many schools promoted the walkout was for the 17 who dies and had nothing to do with guns. 7th graders should not be doing this based on peer pressure.@kimguilfoyle,"Columbus, OH",0.0
5891,We walk out for gun control. We walk out for peace. We walk out for Parkland. We walk out for… ,"Los Angeles, CA",-2.0
5892,@realDonaldTrump THESE KIDS DEMAND GUN CONTROL AS WELL!!!!!!,"Lathrop, CA",-2.0
5893,"Also the bill they passed was okay, but in order to take action on #gunviolence they might want to consider doing something about ya know...guns. 

Congress’ tone deafness is why the students are skipping class. ","Washington, DC",0.0
5894,"@eamslider24 Children protesting   guns violence? Are they  the ones who buy ,exchanges &amp; watch Violents videos? Bully classmates &amp; parents &amp; teachers,authorities?","Henderson, NV",-2.0
5895,"ahahahaha y'all looked goofy af talking about the NRA and fuck your guns and all that bullshit 

you'll take my freedom from my cold dead hands #northwestern #NationalWalkoutDay ","Evanston, IL",-2.0
5896,"@dlh8 @ChrisMurphyCT Preventing sales of assault-style weapons to civilians, preventing sales of high capacity magazines, raising age at which a person can buy guns to 21. And it’s not just about preventing just one murderous shooter bu those to come as well","South Snyderville Basin, UT",0.0
5897,@RodStryker I think your mistaken I just googled it and they carry a p226 required by law an Sweden has only denied 1000 people the right to buy firearms  goggle do police carry firearms in Sweden,"Wamego, KS",1.0
5898,@Skritzzz I also don’t think that it should be even remotely easy to buy a firearm. Stricter gun laws are definitely needed. Along with better mental healthcare in this country. These are all just my opinions but in no way do I believe guns save lives.,"Petaluma, CA",-2.0
5899,tfw ur weed dealer always wants to meet in the park ,"Chicago, IL",-2.0
5900,My hot take: it's a good thing that the most popular politician in America is publicly embracing the teens' movement for gun control. ,"Wisconsin, USA",1.0
5901,South kids walkout to demand stricter gun control laws 🧡 #NeverAgain #NationalSchoolWalkout ,"Eugene, OR",1.0
5902,Cool to say I was at the Capitol today and I could see this outside. Proud of these students. ,"Washington, DC",-2.0
5903,"Pretty sure 36% of the students walking out of school for gun violence today really do care about gun rights, but I’m also pretty sure the other 64% are just doing it because ditching is fun.","Las Vegas, NV",0.0
5904,"@realDonaldTrump Arm the teachers. Too many brainwashed liberals and criminals killing our kids with knives, bombs, cars, trucks, guns, drugs and abortions.  The best thing you can do is get your kid out of public education.","Alabama, USA",-2.0
5905,".@JamesSasso article suffers from policy and legal shortfalls. (1) Semi-auto rifles relatively low number of firearm deaths, most from handguns. (2) Meaning of constitution does not change based on practicalities. Also, armed citizens could go against military, just like Al Qaida ","Franconia, VA",1.0
5906,I love science. ,"Los Angeles, CA",-2.0
5907,"@nycbubbles @BravenakBlog he's against abortion, but follows the law, against Pelosi, loves guns, tarriffs. I'd say he's on the conservative side, but its cool, stayed on message for his constituents.","Columbus, OH",-2.0
5908,"@tenthousandjoys @RyanAFournier If you ask law abiding citizens to give up their guns they are smart enough to say no.  Look how well gun confiscation worked for Venezuela, Germany etc.  Guns aren't the problem.  Democrat policies like gun free zones are the problem.","California, USA",1.0
5909,"@kurtkuczynski @voxdotcom @NRA Therein lies the hypocrisy on the issue. Not mine but the “gun rights” crowd. 
2nd amendment of the constitution of our nation states that a well regulated militia is necessary to a free state, right? Regulated defined is being controlled or managed.","Nevada, USA",1.0
5910,"@nielekane @timothymstout @OwenBenjamin Well it's true. The source is a guns safety class that I attended. The ""fake"" news just happens to say truth. Seems like journalism. 🤔 the facts go against your narrative? Let's call it hate speech and disarm the population. That's not what Hitler or Stalin did or anything...","Arkansas, USA",0.0
5911,"@davidhogg111 R only Safeguarding 2nd amendment to make all safer.Non-assault style guns r for defense &amp; hunting. Per off the grid, assault weapons r Not the survival weapons of choice due to maintenance issues-finding a good hiding spot w/ easy to maintain non assault rifle is.","Springfield, IL",0.0
5912,@realDonaldTrump ,"Pennsylvania, USA",-2.0
5913,@pyalgia @__rejects @livininpa2 @Eliza_Idc @LisaSkidmore11 @PrisonPlanet My sons former high school already has armed police officers assigned to it. No major problems or shootings  ever. Not sure why this isn’t done across the nation other then budgetary constraints...,"Kansas, USA",0.0
5914,"These are not major steps, they are good steps but still small. 

To address #GunViolence, they might want to focus some on guns. ","Washington, DC",0.0
5915,Your are more likely to die from a fall than gun violence but I don’t see anyone talking about fall control.,"Carrollton, GA",0.0
